"id","average_wage","industry","average_price","category","year"
185,16827,"Kulturní, zábavní a rekreační činnosti",47.47,Kuřata kuchaná celá,2006
186,16484,Ostatní činnosti,47.47,Kuřata kuchaná celá,2006
187,40027,Peněžnictví a pojišťovnictví,47.47,Kuřata kuchaná celá,2006
188,24645,"Profesní, vědecké a technické činnosti",47.47,Kuřata kuchaná celá,2006
189,17850,Stavebnictví,47.47,Kuřata kuchaná celá,2006
190,24067,Těžba a dobývání,47.47,Kuřata kuchaná celá,2006
191,11674,"Ubytování, stravování a pohostinství",47.47,Kuřata kuchaná celá,2006
192,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,47.47,Kuřata kuchaná celá,2006
193,23285,Veřejná správa a obrana; povinné sociální zabezpečení,47.47,Kuřata kuchaná celá,2006
194,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",47.47,Kuřata kuchaná celá,2006
195,20030,Vzdělávání,47.47,Kuřata kuchaná celá,2006
196,18740,Zásobování vodou; činnosti související s odpady a sanacemi,47.47,Kuřata kuchaná celá,2006
197,19042,Zdravotní a sociální péče,47.47,Kuřata kuchaná celá,2006
198,14818,"Zemědělství, lesnictví, rybářství",47.47,Kuřata kuchaná celá,2006
199,18482,Zpracovatelský průmysl,47.47,Kuřata kuchaná celá,2006
200,19536,,47.47,Kuřata kuchaná celá,2006
201,14444,Administrativní a podpůrné činnosti,104.39,Máslo,2006
202,19242,Činnosti v oblasti nemovitostí,104.39,Máslo,2006
203,19257,Doprava a skladování,104.39,Máslo,2006
204,35793,Informační a komunikační činnosti,104.39,Máslo,2006
205,16827,"Kulturní, zábavní a rekreační činnosti",104.39,Máslo,2006
206,16484,Ostatní činnosti,104.39,Máslo,2006
207,40027,Peněžnictví a pojišťovnictví,104.39,Máslo,2006
208,24645,"Profesní, vědecké a technické činnosti",104.39,Máslo,2006
209,17850,Stavebnictví,104.39,Máslo,2006
210,24067,Těžba a dobývání,104.39,Máslo,2006
211,11674,"Ubytování, stravování a pohostinství",104.39,Máslo,2006
212,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,104.39,Máslo,2006
213,23285,Veřejná správa a obrana; povinné sociální zabezpečení,104.39,Máslo,2006
214,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",104.39,Máslo,2006
215,20030,Vzdělávání,104.39,Máslo,2006
216,18740,Zásobování vodou; činnosti související s odpady a sanacemi,104.39,Máslo,2006
217,19042,Zdravotní a sociální péče,104.39,Máslo,2006
218,14818,"Zemědělství, lesnictví, rybářství",104.39,Máslo,2006
219,18482,Zpracovatelský průmysl,104.39,Máslo,2006
220,19536,,104.39,Máslo,2006
221,14444,Administrativní a podpůrné činnosti,14.44,Mléko polotučné pasterované,2006
222,19242,Činnosti v oblasti nemovitostí,14.44,Mléko polotučné pasterované,2006
223,19257,Doprava a skladování,14.44,Mléko polotučné pasterované,2006
224,35793,Informační a komunikační činnosti,14.44,Mléko polotučné pasterované,2006
225,16827,"Kulturní, zábavní a rekreační činnosti",14.44,Mléko polotučné pasterované,2006
226,16484,Ostatní činnosti,14.44,Mléko polotučné pasterované,2006
227,40027,Peněžnictví a pojišťovnictví,14.44,Mléko polotučné pasterované,2006
228,24645,"Profesní, vědecké a technické činnosti",14.44,Mléko polotučné pasterované,2006
229,17850,Stavebnictví,14.44,Mléko polotučné pasterované,2006
230,24067,Těžba a dobývání,14.44,Mléko polotučné pasterované,2006
231,11674,"Ubytování, stravování a pohostinství",14.44,Mléko polotučné pasterované,2006
232,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,14.44,Mléko polotučné pasterované,2006
233,23285,Veřejná správa a obrana; povinné sociální zabezpečení,14.44,Mléko polotučné pasterované,2006
234,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",14.44,Mléko polotučné pasterované,2006
235,20030,Vzdělávání,14.44,Mléko polotučné pasterované,2006
236,18740,Zásobování vodou; činnosti související s odpady a sanacemi,14.44,Mléko polotučné pasterované,2006
237,19042,Zdravotní a sociální péče,14.44,Mléko polotučné pasterované,2006
238,14818,"Zemědělství, lesnictví, rybářství",14.44,Mléko polotučné pasterované,2006
239,18482,Zpracovatelský průmysl,14.44,Mléko polotučné pasterované,2006
240,19536,,14.44,Mléko polotučné pasterované,2006
241,14444,Administrativní a podpůrné činnosti,14.41,Mrkev,2006
242,19242,Činnosti v oblasti nemovitostí,14.41,Mrkev,2006
243,19257,Doprava a skladování,14.41,Mrkev,2006
244,35793,Informační a komunikační činnosti,14.41,Mrkev,2006
245,16827,"Kulturní, zábavní a rekreační činnosti",14.41,Mrkev,2006
246,16484,Ostatní činnosti,14.41,Mrkev,2006
247,40027,Peněžnictví a pojišťovnictví,14.41,Mrkev,2006
248,24645,"Profesní, vědecké a technické činnosti",14.41,Mrkev,2006
249,17850,Stavebnictví,14.41,Mrkev,2006
250,24067,Těžba a dobývání,14.41,Mrkev,2006
251,11674,"Ubytování, stravování a pohostinství",14.41,Mrkev,2006
252,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,14.41,Mrkev,2006
253,23285,Veřejná správa a obrana; povinné sociální zabezpečení,14.41,Mrkev,2006
254,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",14.41,Mrkev,2006
255,20030,Vzdělávání,14.41,Mrkev,2006
256,18740,Zásobování vodou; činnosti související s odpady a sanacemi,14.41,Mrkev,2006
257,19042,Zdravotní a sociální péče,14.41,Mrkev,2006
258,14818,"Zemědělství, lesnictví, rybářství",14.41,Mrkev,2006
259,18482,Zpracovatelský průmysl,14.41,Mrkev,2006
260,19536,,14.41,Mrkev,2006
261,14444,Administrativní a podpůrné činnosti,35.31,Papriky,2006
262,19242,Činnosti v oblasti nemovitostí,35.31,Papriky,2006
263,19257,Doprava a skladování,35.31,Papriky,2006
264,35793,Informační a komunikační činnosti,35.31,Papriky,2006
265,16827,"Kulturní, zábavní a rekreační činnosti",35.31,Papriky,2006
266,16484,Ostatní činnosti,35.31,Papriky,2006
267,40027,Peněžnictví a pojišťovnictví,35.31,Papriky,2006
268,24645,"Profesní, vědecké a technické činnosti",35.31,Papriky,2006
269,17850,Stavebnictví,35.31,Papriky,2006
270,24067,Těžba a dobývání,35.31,Papriky,2006
271,11674,"Ubytování, stravování a pohostinství",35.31,Papriky,2006
272,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,35.31,Papriky,2006
273,23285,Veřejná správa a obrana; povinné sociální zabezpečení,35.31,Papriky,2006
274,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",35.31,Papriky,2006
275,20030,Vzdělávání,35.31,Papriky,2006
